Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
79,Black Tern,Chlidonias niger,Newcastle,NSW,1/13/1968,,Accepted,2
80,Black Tern,Chlidonias niger,Lake Joondalup,WA,12/31/1973,,Not Accepted,x
81,Black Tern,Chlidonias niger,Wanaaring,NSW,May-71,,Not Accepted,x
528,Black Tern,Chlidonias niger,"Woody Head, Iluka ",NSW,4/21/2007,,Not Accepted,x
674,Black Tern,Chlidonias niger,"Boat Harbour, Sydney",NSW,3/10/1990,,Accepted,3
1274,Black Tern,Chlidonias niger surinamensis,"Little River Mouth, WTP",VIC,2/04/23 +,Submission,Accepted,4
536,Black-capped Kingfisher,Halcyon pileata,North Burracoppin ,WA,1/3/2005,,Accepted,1
180,Black-crowned Night-Heron,Nycticorax nycticorax,Ashmore Reef,WA,3/28/1994,,Accepted,1
788,Black-crowned Night-Heron,Nycticorax nycticorax,Cocos (Keeling) Islands,IOT,10/13/1941,,Accepted,2
929,Black-crowned Night-Heron,Nycticorax nycticorax ,Christmas Island,IOT,7/29/2016,,Accepted,3
941,Black-crowned Night-Heron,Nycticorax nycticorax ,"Home Island, Cocos (Keeling) Islands",IOT,12/6/2016,,Accepted,4
1306,Black-crowned Night-Heron,Nycticorax nycticorax ,Broome,WA,4/29/2023,,Under review,
1202,Black-fronted Tern,Chlidonias albostriatus,"Fort Scratchley, Newcastle",NSW,6/20/2021,Submission,Accepted,1
131,Black-headed Gull,Larus ridibundus,Broome,WA,10/19/1991,,Accepted,1
237,Black-headed Gull,Larus ridibundus,Darwin ,NT,2/1/1998,,Accepted,2
365,Black-headed Gull,Larus ridibundus,Darwin ,NT,12/21/2002,,Accepted,3
456,Black-headed Gull,Larus ridibundus,Darwin ,NT,1/23/2005,,Accepted,4
475,Black-headed Gull,Larus ridibundus,"Buffalo Creek, Darwin ",WA,2/19/2006,,Accepted,5
630,Black-headed Gull,Larus ridibundus,"Boigu Island, Torres Strait",QLD,1/18/2010,,Accepted,6
631,Black-headed Gull,Larus ridibundus,"Saibai Island, Torres Strait ",QLD,1/21/2010,,Accepted,7
703,Black-headed Gull,Larus ridibundus,Darwin,NT,12/30/2009,,Accepted,8
863,Black-headed Gull,Larus ridibundus,Nhulunbuy,NT,2/3/2015,,Accepted,9
1005,Black-headed Gull,Larus ridibundus,"Lee Creek, Darwin",NT,3/10/2018,Submission,Accepted,10
342,Black-nest or Edible-nest Swiftlet ,Aerodramus sp.,Near Broome ,WA,2/15/2001,,Accepted,x
55,Black-tailed Gull,Larus crassirostris,Port Phillip Bay,VIC,Mar-Sep 1978,,Accepted,1
425,Black-tailed Gull,Larus crassirostris,Townsville ,QLD,4/22/2004,,Accepted,2
543,Black-tailed Gull,Larus crassirostris,Geraldton ,WA,5/6/2007,,Accepted,3
602,Black-tailed Gull,Larus crassirostris,Hastings ,VIC,2/1/2009,,Not Accepted,x
993,Black-tailed Gull,Larus crassirostris,Darwin,NT,4/12/1982,,Accepted,4
1004,Black-tailed Gull,Larus crassirostris,Carins,QLD,4/1/2013,Submission,Accepted,5
13,Blue Petrel,Halobaena caerulea,Hamelin Bay district,WA,9/1/1979,,Not Accepted,x
232,Blue Rock-Thrush,Monticola solitarius,Noosa ,QLD,Oct-97,,Accepted,1
583,Blue Rock-Thrush,Monticola solitarius,"Home Island, Cocos (Keeling) Islands ",IOT,12/4/2008,,Accepted,2
1024,Blue Rock-Thrush,Monticola solitarius,Onslow,WA,7/2/2018,Submission,Accepted,4
1043,Blue Rock-Thrush,Monticola solitarius,"Home Island, Cocos (Keeling) Islands",IOT,1-4 Dec-18,Submission,Accepted,5
951,Blue Rock-Thrush  ,Monticola solitarius,Dampier Wharf,WA,10/11/2013,,Accepted,3
879,Blue-and-White Flycatcher,Cyanoptila cyanomelana,Cocos (Keeling) Islands,IOT,3/18/2011,,Accepted,6
880,Blue-and-White Flycatcher,Cyanoptila cyanomelana,Cocos (Keeling) Islands,IOT,12/2/2013,,Accepted,7
881,Blue-and-White Flycatcher,Cyanoptila cyanomelana,Cocos (Keeling) Islands,IOT,11/30/2014,,Accepted,8
882,Blue-and-White Flycatcher,Cyanoptila cyanomelana,Cocos (Keeling) Islands,IOT,12/6/2014,,Accepted,9
1126,Blue-and-White Flycatcher,Cyanoptila cyanomelana,"North Keeling I., Cocos (Keeling) Islands",IOT,12/3/2019,Submission,Accepted,10
242,Blue-and-White Flycatcher ,Cyanoptila cyanomelana ,Cossack ,WA,12/5/1995,,Accepted,1
370,Blue-and-White Flycatcher ,Cyanoptila cyanomelana ,Broome Bird Observatory ,WA,11/15/2002,,Accepted,2
408,Blue-and-White Flycatcher ,Cyanoptila cyanomelana ,Chistmas Island,IOT,12/7/2003,,Accepted,3
515,Blue-and-White Flycatcher ,Cyanoptila cyanomelana ,Chistmas Island,IOT,12/2/2006,,Accepted,4
516,Blue-and-White Flycatcher ,Cyanoptila cyanomelana ,Chistmas Island,IOT,12/3/2006,,Accepted,5
181,Blue-tailed Imperial-Pigeon,Ducula concinna,Darwin,NT,10/29/1993,,Accepted,1
219,Blue-winged Pitta,Pitta moluccensis ,Coconut Well ,WA,Dec-95,,Accepted,1
241,Blue-winged Pitta,Pitta moluccensis ,Karratha ,WA,11/6/1994,,Accepted,2
1028,Blue-winged Pitta,Pitta moluccensis,Christmas Island,IOT,14-Dec-01,Submission,Accepted,3
1305,Blue-winged Pitta,Pitta moluccensis,Broome,WA,3/21/2024,,Under review,
856,Blyth’s Swift,Apus leuconyx,"West Island, Cocos (Keeling) Islands",IOT,12/8/2014,,Not Accepted,x
154,Broad-billed Prion,Pachyptila vittata,off Storm Bay,TAS,8/27/1992,,Accepted,1
369,Broad-billed Prion,Pachyptila vittata,off Southport ,QLD,7/20/2002,,Accepted,2
395,Broad-billed Prion,Pachyptila vittata,off Southport ,QLD,6/7/1997,,Accepted,3
490,Broad-billed Prion,Pachyptila vittata,Bensville ,NSW,6/7/2006,,Accepted,4
507,Broad-billed Prion,Pachyptila vittata,"Long Reef, Sydney ",NSW,6/17/2000,,Accepted,5
532,Broad-billed Prion,Pachyptila vittata,Bellarine Peninsula ,VIC,6/30/2002,,Accepted,6
649,Broad-billed Prion,Pachyptila vittata,off SE Tasmania,TAS,4/10/2010,,Accepted,7
708,Broad-billed Prion,Pachyptila vittata,Ulladulla,NSW,7/26/2011,,Accepted,8
726,Broad-billed Prion,Pachyptila vittata,off Cape Raoul,TAS,11/30/2011,,Accepted,9
805,Broad-billed Prion,Pachyptila vittata,Eaglehawk Neck,TAS,8/31/2013,,Accepted,9
1146,Broad-billed Prion,Pachyptila vittata,Eaglehawk Neck,TAS,8/11/2019,Submission,Accepted,10
6,Broad-billed Sandpiper,Calidris falcinellus,Perth,WA,11/21/1975,,Withdrawn,x
353,Brown Goshawk ,Accipiter fasciatus dogwa,"Saibai Island, Torres Strait",QLD,9/5/2002,,Not Accepted,x
354,Brown Goshawk ,Accipiter fasciatus dogwa,"Saibai Island, Torres Strait",QLD,1/26/2002,,Not Accepted,x
260,Brown Shrike,Lanius cristatus,Chistmas Island,IOT,11/20/1998,,Accepted,1
299,Brown Shrike,Lanius cristatus,Chistmas Island,IOT,12/28/1996,,Accepted,2
329,Brown Shrike,Lanius cristatus,Chistmas Island,IOT,12/12/2001,,Accepted,3
944,Brown Shrike,Lanius cristatus,Ashmore Reef,WA,11/10/2011,,Accepted,4
961,Brown Shrike,Lanius cristatus,Cocos (Keeling) Islands,IOT,11/11/2016,,Accepted,5
962,Brown Shrike,Lanius cristatus,Cocos (Keeling) Islands,IOT,11/11/2016,,Not Accepted,x
1055,Brown Shrike,Lanius cristatus cristatus ,Cocos (Keeling) Islands,IOT,16/02/2019 - 07/04/2019,Submission,Accepted,6
