ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
158,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,24 Jul 1994,Accepted
159,,Fiordland Penguin,Eudyptes pachyrhynchus,Moruya,1 Oct 1994,Accepted
160,,Oriental Plover,Charadrius veredus,"Station Creek Beach, Yuraygir NP",18 Oct 1994,Accepted
161,,Fairy Tern,Sternula nereis,"Wallagoot Lake, Bournda NP",14 Dec 1994,Accepted
162,,White-necked Petrel,Pterodroma cervicalis,"Hastings River, near Port Macquarie",4 Mar 1995,Accepted
163,,Red-tailed Tropicbird,Phaethon rubricauda,Norah Head ,4 Mar 1995,Accepted
164,,Common Noddy,Anous stolidus,off Sydney,11 Feb 1995,Accepted
165,,Grey Ternlet,Procelsterna albivitta,off Sydney,11 Feb 1995,Accepted
166,,Common Noddy,Anous stolidus,off Wollongong,26 Feb 1995,Not Confirmed (not assessed)
167,,Streaked Shearwater,Calonectris leucomelas,off Sydney,11 Feb 1995,Accepted
168,,Red-backed Buttonquail,Turnix maculosus,Bunjalung NP,16 Sep 1994,Accepted
169,,Ruff,Philomachus pugnax,"North Creek, Ballina",9 Apr 1995,Not accepted
170,,White-throated Honeyeater,Melithreptis albogularis ,Bulahdelah ,2 Apr 1994,Not Confirmed (not assessed)
171,,Red-tailed Tropicbird,Phaethon rubricauda,Armidale,6 Mar 1995,Accepted
172,,Little Stint,Calidris minuta,Tullakool Saltworks,15 Jan 1995,Not Confirmed (not assessed)
173,189,American Golden Plover,Pluvialis dominica,West Byron Wetlands,8 Nov 1994,Accepted
174,,American Golden Plover,Pluvialis dominica,Sandon River,14 Nov 1994,Withdrawn
175,,Common Diving Petrel,Pelecanoides urinatrix,Marley Beach,8 Jul 1993,Not Confirmed (not assessed)
176,,Common Diving Petrel,Pelecanoides urinatrix,"Long Reef, Sydney ",3 Jul 1993,Accepted
177,,Brown Booby,Sula leucogaster,Ballina,15 Feb 1995,Not Confirmed (not assessed)
178,,Grey Ternlet,Procelsterna albivitta,East Ballina Lighthouse,8 Mar 1995,Accepted
179,,Black Noddy,Anous minutus,Ballina,15 Feb 1995,Not Confirmed (not assessed)
180,,Common Noddy,Anous stolidus,Ballina,15 Feb 1995,Not Confirmed (not assessed)
181,,White Tern,Gygis alba,Ballina,5 Mar 1995,Not Confirmed (not assessed)
182,,White-necked Petrel,Pterodroma cervicalis,Ballina,8 Mar 1995,Not Confirmed (not assessed)
183,,Common Noddy,Anous stolidus,Mossy Point,10 Feb 1995,Not accepted
184,,Royal Albatross,Diomedea epomophora (sensu lato),Wollongong Light-house,16 Jul 1994,Not accepted
185,,Grey-headed Albatross,Thalassarche chrysostoma,Wollongong Light-house,16 Jul 1994,Not accepted
186,,Common Noddy,Anous stolidus,Wollongong,11 Mar 1995,Not Confirmed (not assessed)
187,,Common Diving Petrel,Pelecanoides urinatrix,off Wollongong,27 Jun 1993,Accepted
188,,Red-backed Buttonquail,Turnix maculosus,Nymboida NP,6 Mar 1993,Accepted
189,,Red-backed Buttonquail,Turnix maculosus,Mangrove Mountain,26 Dec 1994,Accepted
190,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,28 Mar 1993,Accepted
191,,House Swift,Apus nipalensis,Ballina,8 Mar 1995,Not Confirmed (not assessed)
192,,Southern Fulmar,Fulmarus glacialoides,"Long Reef, Sydney ",21 Jun 1995,Not Confirmed (not assessed)
193,,Metallic Starling,Aplonis metallica,Bowraville,4 Mar 1994,Not accepted
194,,Metallic Starling,Aplonis metallica,Bowraville,28 Aug 1994,Not accepted
195,,Kerguelen Petrel,Lugensa brevirostris,off Sydney,23 Sep 1995,Not accepted
196,,Black-winged Petrel,Pterodroma nigripennis,off Wollongong,22 Oct 1995,Accepted
197,,Roseate Tern,Sterna dougallii,"Flat Rock Beach, Ballina",28 Sep 1995,Not Confirmed (not assessed)
198,,Cook's Petrel,Pterodroma cookii,off Wollongong,22 Oct 1995,Not Confirmed (not assessed)
201,,Red-tailed Tropicbird,Phaethon rubricauda,Ballina,2 Nov 1995,Not Confirmed (not assessed)
202,,Cook's Petrel,Pterodroma cookii,off Sydney,9 Dec 1995,Not Confirmed (not assessed)
203,,White-chinned Petrel,Procellaria aequinoctialis,off Sydney,19 Dec 1995,Not Confirmed (not assessed)
204,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,9 Dec 1995,Accepted
205,,Black-winged Petrel,Pterodroma nigripennis,"Spoon Bay Beach, Wamberal",12 Jan 1996,Accepted
206,,Pink Robin,Petroica rodinogaster,Yallah,5 Apr 1996,Not Confirmed (not assessed)
207,,Grey Ternlet,Procelsterna albivitta,off Wollongong,11 Mar 1996,Not Confirmed (not assessed)
208,,Red-tailed Tropicbird,Phaethon rubricauda,Tamworth,6 Mar 1995,Accepted
209,,South Polar Skua,Stercorarius maccormicki,off Wollongong,14 Apr 1996,Not Confirmed (not assessed)
210,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,14 Apr 1996,Not Confirmed (not assessed)
211,,Black-headed Gull,Chroicocephalus ridibundus,off Bellambi,11 Aug 1994,Withdrawn
212,,White Tern,Gygis alba,East Ballina Lighthouse,5 Feb 1996,Not Confirmed (not assessed)
213,,White Tern,Gygis alba,"Long Reef, Sydney ",2 May 1996,Not Confirmed (not assessed)
214,,White Tern,Gygis alba,Avoca Beach,3 May 1996,Accepted
215,,White Tern,Gygis alba,Norah Head ,5 May 1996,Accepted
216,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,28 Apr 1996,Accepted
217,,Herald Petrel,Pterodroma heraldica,off Wollongong,28 Apr 1996,Not Confirmed (not assessed)
218,,Royal Albatross,Diomedea epomophora (sensu lato),off Wollongong,22 Aug 1994,Not Confirmed (not assessed)
219,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,25 Sep 1994,Accepted
220,,Black Petrel,Procellaria parkinsoni,off Wollongong,17 Nov 1994,Not Confirmed (not assessed)
221,,Common Noddy,Anous stolidus,off Nambucca Heads,5 May 1996,Accepted
222,,Great Frigatebird,Fregata minor,East Ballina Lighthouse,4 May 1996,Accepted
223,,Common Noddy,Anous stolidus,off Tweed Heads,24 Feb 1996,Accepted
224,,Red-tailed Tropicbird,Phaethon rubricauda,Wauchope,7 Mar 1995,Accepted
225,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,8 Jun 1996,Accepted
226,,Westland Petrel,procellaria westlandica,off Sydney,8 Jun 1996,Not Confirmed (not assessed)
228,,Common Redshank,Tringa totanus,"Long Reef, Sydney ",8 Jul 1996,Not Confirmed (not assessed)
229,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,23 Jul 1996,Not Confirmed (not assessed)
230,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,28 Jun 1996,Accepted
231,,Cotton Pygmy Goose,Nettapus coromandelianus,Mooney Mooney Creek,30 May 1996,Accepted
232,,Kermadec Petrel,Pterodroma neglecta,Coogee,16 Jun 1996,Not accepted
233,,Australian Logrunner,Orthonyx temminckii,near Eden,27 Dec 1995,Accepted
234,,Blue Petrel,Halobaena caerulea,St Georges Basin,4 Sep 1995,Accepted
